#   29.190   91.759 1 2 0
  29.117   93.782    3.156
  29.488   94.579    3.124
#   29.318   97.186 1 2 0
  29.072   93.386    3.066
  29.117   93.782    3.054
  29.247   94.258    3.034
  29.488   94.579    3.068
  29.707   92.149    3.082
  29.808   93.907    3.032
  29.875   92.621    3.096
  29.897   93.515    3.088
  29.909   95.472    3.122
  30.023   92.965    3.072
#   29.506   96.756 1 2 0
  29.117   93.782    3.058
  29.190   91.759    3.070
  29.488   94.579    3.050
  29.707   92.149    3.054
  29.875   92.621    3.120
  29.909   95.472    3.114
  30.023   92.965    3.054
#   29.641   97.896 1 2 0
  28.898   91.943    3.084
  29.117   93.782    3.078
  29.488   94.579    3.086
  29.506   96.756    3.082
  29.758   96.102    3.092
  29.773   95.700    3.056
  29.808   93.907    3.068
  29.875   92.621    3.078
  29.897   93.515    3.104
  29.909   95.472    3.068
  29.961   94.780    3.082
  30.009   96.691    3.020
#   29.700   91.150 1 2 0
  29.318   97.186    3.098
  29.483   94.415    3.132
  29.488   94.579    3.134
  29.506   96.756    3.084
  29.720   98.427    3.060
  29.758   96.102    3.092
  29.773   95.700    3.072
  29.808   93.907    3.176
  29.909   95.472    3.112
  29.958   97.511    3.082
  29.961   94.780    3.156
  30.691   97.261    3.080
  30.730   96.103    3.082
  30.753   92.859    3.092
  30.813   95.711    3.106
  30.910   96.338    3.110
  31.258   92.090    3.070
  31.271   97.548    3.076
  31.284   93.836    3.108
  31.301   97.962    3.062
  31.481   93.700    3.070
  31.537   95.282    3.106
  31.679   92.402    3.028
  31.838   93.792    3.028
  31.907   94.136    3.074
  31.909   93.058    3.016
#   29.707   92.149 1 2 0
  29.247   94.258    3.148
  29.488   94.579    3.074
#   29.720   98.427 1 2 0
  29.506   96.756    2.972
  29.707   92.149    3.042
  29.808   93.907    3.034
  29.875   92.621    3.054
  29.909   95.472    3.008
  30.009   96.691    3.024
  30.023   92.965    3.042
#   29.758   96.102 1 2 0
  28.898   91.943    3.088
  29.041   92.226    3.120
  29.072   93.386    3.068
  29.117   93.782    3.074
  29.190   91.759    3.078
  29.247   94.258    3.030
  29.488   94.579    3.048
  29.808   93.907    3.040
  29.875   92.621    3.116
  29.897   93.515    3.088
  30.023   92.965    3.118
#   29.773   95.700 1 2 0
  29.072   93.386    3.064
  29.117   93.782    3.038
  29.190   91.759    3.084
  29.488   94.579    3.096
  29.707   92.149    3.038
  29.808   93.907    3.014
  29.897   93.515    3.090
#   29.808   93.907 1 2 0
  29.190   91.759    3.154
#   29.909   95.472 1 2 0
  28.898   91.943    3.066
  29.707   92.149    3.102
  29.897   93.515    3.070
  30.023   92.965    3.060
#   29.958   97.511 1 2 0
  29.072   93.386    3.058
  29.117   93.782    3.070
  29.247   94.258    3.044
  29.707   92.149    3.084
  29.758   96.102    3.072
  29.773   95.700    3.056
  29.808   93.907    3.036
  29.897   93.515    3.066
  29.961   94.780    3.034
  30.009   96.691    3.078
  30.023   92.965    3.086
#   29.961   94.780 1 2 0
  28.898   91.943    3.142
  29.041   92.226    3.104
  29.190   91.759    3.108
  29.875   92.621    3.170
  30.023   92.965    3.104
#   30.009   96.691 1 2 0
  28.898   91.943    3.100
  29.072   93.386    3.086
  29.117   93.782    3.080
  29.190   91.759    3.108
  29.488   94.579    3.104
  29.773   95.700    3.094
  29.897   93.515    3.104
  30.023   92.965    3.096
#   30.023   92.965 1 2 0
  28.898   91.943    3.072
  29.190   91.759    3.124
#   30.120   97.303 1 2 0
  28.898   91.943    3.070
  29.190   91.759    3.102
  29.488   94.579    3.070
  29.773   95.700    3.122
  29.875   92.621    3.084
  29.897   93.515    3.104
  29.909   95.472    3.102
  30.023   92.965    3.076
#   30.502   97.137 1 2 0
  28.898   91.943    3.106
  29.117   93.782    3.092
  29.190   91.759    3.098
  29.488   94.579    3.046
  29.707   92.149    3.082
  29.773   95.700    3.032
  29.808   93.907    3.090
  29.961   94.780    3.056
  30.023   92.965    3.070
#   30.646   93.250 1 2 0
  28.898   91.943    3.084
  29.190   91.759    3.156
  29.506   96.756    3.146
  29.641   97.896    3.062
  29.720   98.427    3.090
  29.808   93.907    3.192
  29.958   97.511    3.090
  29.961   94.780    3.056
  30.009   96.691    3.084
  30.120   97.303    3.118
  30.502   97.137    3.100
  30.691   97.261    3.088
  30.730   96.103    3.124
  30.813   95.711    3.122
  31.254   95.901    3.132
  31.301   97.962    3.050
  31.481   93.700    3.058
  31.537   95.282    3.074
  31.838   93.792    3.006
  31.907   94.136    3.030
#   30.691   97.261 1 2 0
  29.318   97.186    2.986
  29.641   97.896    3.028
  29.707   92.149    3.064
  29.875   92.621    3.062
  29.897   93.515    3.046
  29.909   95.472    3.058
  29.961   94.780    3.048
  30.023   92.965    3.060
#   30.730   96.103 1 2 0
  29.072   93.386    3.108
  29.506   96.756    3.084
  29.707   92.149    3.078
  29.808   93.907    2.998
  29.875   92.621    3.080
  29.958   97.511    3.052
#   30.753   92.859 1 2 0
  29.072   93.386    3.124
  29.190   91.759    3.120
  29.247   94.258    3.132
  29.483   94.415    3.074
  29.488   94.579    3.128
  29.641   97.896    3.100
  29.707   92.149    3.058
  29.773   95.700    3.068
  29.958   97.511    3.088
  29.961   94.780    3.082
  30.009   96.691    3.112
  30.120   97.303    3.082
  30.691   97.261    3.102
  30.807   96.699    3.124
  31.193   96.498    3.144
  31.254   95.901    3.130
  31.284   93.836    3.112
  31.301   97.962    3.104
  31.481   93.700    2.966
  31.537   95.282    3.096
  31.838   93.792    3.014
  31.907   94.136    3.090
#   30.807   96.699 1 2 0
  28.898   91.943    3.108
  29.072   93.386    3.096
  29.758   96.102    2.994
  29.773   95.700    3.014
  29.808   93.907    3.028
  29.875   92.621    3.068
  29.897   93.515    3.048
  29.909   95.472    3.054
  29.961   94.780    3.042
  30.023   92.965    3.066
#   30.813   95.711 1 2 0
  29.072   93.386    3.076
  29.247   94.258    3.056
  29.318   97.186    3.096
  29.488   94.579    3.030
  29.506   96.756    3.096
  29.707   92.149    3.072
  29.808   93.907    3.092
  29.875   92.621    3.074
  29.897   93.515    3.048
  30.023   92.965    3.078
  30.120   97.303    3.078
  30.502   97.137    3.078
  30.691   97.261    3.062
#   30.910   96.338 1 2 0
