#   29.041   92.226 1 1 0
  29.072   93.386    3.338
  29.117   93.782    3.400
#   29.247   94.258 1 1 0
  29.488   94.579    3.426
#   29.318   97.186 1 1 0
  29.247   94.258    3.314
  29.707   92.149    3.404
  29.773   95.700    3.358
  29.808   93.907    3.362
  29.909   95.472    3.302
  29.961   94.780    3.338
  30.023   92.965    3.362
#   29.641   97.896 1 1 0
  28.898   91.943    3.396
  29.072   93.386    3.382
  29.720   98.427    3.191
  29.758   96.102    3.356
  29.897   93.515    3.370
#   29.700   91.150 1 1 0
  31.193   96.498    3.394
  31.254   95.901    3.408
  31.258   92.090    3.356
  31.481   93.700    3.358
  31.586   94.706    3.400
  31.679   92.402    3.350
  31.838   93.792    3.312
  31.907   94.136    3.394
  31.909   93.058    3.332
#   29.707   92.149 1 1 0
  28.898   91.943    3.386
  29.117   93.782    3.426
#   29.720   98.427 1 1 0
  29.072   93.386    3.388
  29.190   91.759    3.386
  29.758   96.102    3.312
  29.909   95.472    3.266
  30.009   96.691    3.244
#   29.758   96.102 1 1 0
  29.117   93.782    3.404
  29.190   91.759    3.446
  29.808   93.907    3.300
  30.023   92.965    3.370
#   29.773   95.700 1 1 0
  29.117   93.782    3.428
  29.190   91.759    3.408
  29.897   93.515    3.338
#   29.808   93.907 1 1 0
  29.072   93.386    3.560
  30.023   92.965    3.526
#   29.875   92.621 1 1 0
  29.190   91.759    3.320
  29.247   94.258    3.544
#   29.897   93.515 1 1 0
  28.898   91.943    3.404
  29.190   91.759    3.412
  29.707   92.149    3.400
#   29.909   95.472 1 1 0
  28.898   91.943    3.378
  29.041   92.226    3.376
  29.808   93.907    3.378
  29.961   94.780    3.277
  30.023   92.965    3.350
#   29.958   97.511 1 1 0
  29.072   93.386    3.418
  29.117   93.782    3.348
  29.247   94.258    3.398
  29.488   94.579    3.322
  29.720   98.427    3.166
  29.758   96.102    3.322
  29.897   93.515    3.346
  29.961   94.780    3.296
#   29.961   94.780 1 1 0
  29.808   93.907    3.472
  30.023   92.965    3.442
#   30.009   96.691 1 1 0
  29.041   92.226    3.366
  29.072   93.386    3.404
  29.117   93.782    3.392
  29.247   94.258    3.310
  29.897   93.515    3.382
  29.961   94.780    3.360
#   30.023   92.965 1 1 0
  29.041   92.226    3.332
  29.488   94.579    3.470
#   30.120   97.303 1 1 0
  28.898   91.943    3.438
  29.072   93.386    3.418
  29.117   93.782    3.368
  29.190   91.759    3.436
  29.488   94.579    3.314
  29.720   98.427    3.196
  29.758   96.102    3.316
  29.773   95.700    3.320
  29.808   93.907    3.340
  29.875   92.621    3.374
  29.897   93.515    3.344
  29.961   94.780    3.310
#   30.502   97.137 1 1 0
  29.072   93.386    3.416
  29.318   97.186    3.342
#   30.646   93.250 1 1 0
  29.072   93.386    3.516
  29.488   94.579    3.454
  29.641   97.896    3.368
  29.961   94.780    3.464
  30.009   96.691    3.398
  31.301   97.962    3.294
  31.909   93.058    3.268
#   30.691   97.261 1 1 0
  29.072   93.386    3.408
  29.117   93.782    3.394
  29.641   97.896    3.276
  29.758   96.102    3.388
  29.773   95.700    3.382
#   30.730   96.103 1 1 0
  29.041   92.226    3.400
  29.072   93.386    3.440
  29.117   93.782    3.396
  29.961   94.780    3.354
