 90.5000 32.5000  5.0000  3.0100
 90.5000 32.0000  5.0000  2.7549
 90.5000 31.5000  5.0000  2.7549
 90.5000 31.0000  5.0000  3.0100
 90.5000 30.5000  5.0000  3.0100
 90.5000 30.0000  5.0000  2.7549
 90.5000 29.5000  5.0000  2.7549
 90.5000 29.0000  5.0000  3.0100
 90.5000 28.5000  5.0000  3.0100
 90.5000 28.0000  5.0000  2.7549
 91.0000 32.5000  5.0000  3.0100
 91.0000 32.0000  5.0000  2.7549
 91.0000 31.5000  5.0000  2.7549
 91.0000 31.0000  5.0000  3.0100
 91.0000 30.5000  5.0000  3.0100
 91.0000 30.0000  5.0000  2.7549
 91.0000 29.5000  5.0000  2.7549
 91.0000 29.0000  5.0000  3.0100
 91.0000 28.5000  5.0000  3.0100
 91.0000 28.0000  5.0000  2.7549
 91.5000 32.5000  5.0000  2.7549
 91.5000 32.0000  5.0000  3.0100
 91.5000 31.5000  5.0000  3.0100
 91.5000 31.0000  5.0000  2.7549
 91.5000 30.5000  5.0000  2.7549
 91.5000 30.0000  5.0000  3.0100
 91.5000 29.5000  5.0000  3.0100
 91.5000 29.0000  5.0000  2.7549
 91.5000 28.5000  5.0000  2.7549
 91.5000 28.0000  5.0000  3.0100
 92.0000 32.5000  5.0000  2.7549
 92.0000 32.0000  5.0000  3.0100
 92.0000 31.5000  5.0000  3.0100
 92.0000 31.0000  5.0000  2.7549
 92.0000 30.5000  5.0000  2.7549
 92.0000 30.0000  5.0000  3.0100
 92.0000 29.5000  5.0000  3.0100
 92.0000 29.0000  5.0000  2.7549
 92.0000 28.5000  5.0000  2.7549
 92.0000 28.0000  5.0000  3.0100
 92.5000 32.5000  5.0000  3.0100
 92.5000 32.0000  5.0000  2.7549
 92.5000 31.5000  5.0000  2.7549
 92.5000 31.0000  5.0000  3.0100
 92.5000 30.5000  5.0000  3.0100
 92.5000 30.0000  5.0000  2.7549
 92.5000 29.5000  5.0000  2.7549
 92.5000 29.0000  5.0000  3.0100
 92.5000 28.5000  5.0000  3.0100
 92.5000 28.0000  5.0000  2.7549
 93.0000 32.5000  5.0000  3.0100
 93.0000 32.0000  5.0000  2.7549
 93.0000 31.5000  5.0000  2.7549
 93.0000 31.0000  5.0000  3.0100
 93.0000 30.5000  5.0000  3.0100
 93.0000 30.0000  5.0000  2.7549
 93.0000 29.5000  5.0000  2.7549
 93.0000 29.0000  5.0000  3.0100
 93.0000 28.5000  5.0000  3.0100
 93.0000 28.0000  5.0000  2.7549
 93.5000 32.5000  5.0000  2.7549
 93.5000 32.0000  5.0000  3.0100
 93.5000 31.5000  5.0000  3.0100
 93.5000 31.0000  5.0000  2.7549
 93.5000 30.5000  5.0000  2.7549
 93.5000 30.0000  5.0000  3.0100
 93.5000 29.5000  5.0000  3.0100
 93.5000 29.0000  5.0000  2.7549
 93.5000 28.5000  5.0000  2.7549
 93.5000 28.0000  5.0000  3.0100
 94.0000 32.5000  5.0000  2.7549
 94.0000 32.0000  5.0000  3.0100
 94.0000 31.5000  5.0000  3.0100
 94.0000 31.0000  5.0000  2.7549
 94.0000 30.5000  5.0000  2.7549
 94.0000 30.0000  5.0000  3.0100
 94.0000 29.5000  5.0000  3.0100
 94.0000 29.0000  5.0000  2.7549
 94.0000 28.5000  5.0000  2.7549
 94.0000 28.0000  5.0000  3.0100
 94.5000 32.5000  5.0000  3.0100
 94.5000 32.0000  5.0000  2.7549
 94.5000 31.5000  5.0000  2.7549
 94.5000 31.0000  5.0000  3.0100
 94.5000 30.5000  5.0000  3.0100
 94.5000 30.0000  5.0000  2.7549
 94.5000 29.5000  5.0000  2.7549
 94.5000 29.0000  5.0000  3.0100
 94.5000 28.5000  5.0000  3.0100
 94.5000 28.0000  5.0000  2.7549
 95.0000 32.5000  5.0000  3.0100
 95.0000 32.0000  5.0000  2.7549
 95.0000 31.5000  5.0000  2.7549
 95.0000 31.0000  5.0000  3.0100
 95.0000 30.5000  5.0000  3.0100
 95.0000 30.0000  5.0000  2.7549
 95.0000 29.5000  5.0000  2.7549
 95.0000 29.0000  5.0000  3.0100
 95.0000 28.5000  5.0000  3.0100
 95.0000 28.0000  5.0000  2.7549
 95.5000 32.5000  5.0000  2.7549
 95.5000 32.0000  5.0000  3.0100
 95.5000 31.5000  5.0000  3.0100
 95.5000 31.0000  5.0000  2.7549
 95.5000 30.5000  5.0000  2.7549
 95.5000 30.0000  5.0000  3.0100
 95.5000 29.5000  5.0000  3.0100
 95.5000 29.0000  5.0000  2.7549
 95.5000 28.5000  5.0000  2.7549
 95.5000 28.0000  5.0000  3.0100
 96.0000 32.5000  5.0000  2.7549
 96.0000 32.0000  5.0000  3.0100
 96.0000 31.5000  5.0000  3.0100
 96.0000 31.0000  5.0000  2.7549
 96.0000 30.5000  5.0000  2.7549
 96.0000 30.0000  5.0000  3.0100
 96.0000 29.5000  5.0000  3.0100
 96.0000 29.0000  5.0000  2.7549
 96.0000 28.5000  5.0000  2.7549
 96.0000 28.0000  5.0000  3.0100
 96.5000 32.5000  5.0000  3.0100
 96.5000 32.0000  5.0000  2.7549
 96.5000 31.5000  5.0000  2.7549
 96.5000 31.0000  5.0000  3.0100
 96.5000 30.5000  5.0000  3.0100
 96.5000 30.0000  5.0000  2.7549
 96.5000 29.5000  5.0000  2.7549
 96.5000 29.0000  5.0000  3.0100
 96.5000 28.5000  5.0000  3.0100
 96.5000 28.0000  5.0000  2.7549
 97.0000 32.5000  5.0000  3.0100
 97.0000 32.0000  5.0000  2.7549
 97.0000 31.5000  5.0000  2.7549
 97.0000 31.0000  5.0000  3.0100
 97.0000 30.5000  5.0000  3.0100
 97.0000 30.0000  5.0000  2.7549
 97.0000 29.5000  5.0000  2.7549
 97.0000 29.0000  5.0000  3.0100
 97.0000 28.5000  5.0000  3.0100
 97.0000 28.0000  5.0000  2.7549
 97.5000 32.5000  5.0000  2.7549
 97.5000 32.0000  5.0000  3.0100
 97.5000 31.5000  5.0000  3.0100
 97.5000 31.0000  5.0000  2.7549
 97.5000 30.5000  5.0000  2.7549
 97.5000 30.0000  5.0000  3.0100
 97.5000 29.5000  5.0000  3.0100
 97.5000 29.0000  5.0000  2.7549
 97.5000 28.5000  5.0000  2.7549
 97.5000 28.0000  5.0000  3.0100
 98.0000 32.5000  5.0000  2.7549
 98.0000 32.0000  5.0000  3.0100
 98.0000 31.5000  5.0000  3.0100
 98.0000 31.0000  5.0000  2.7549
 98.0000 30.5000  5.0000  2.7549
 98.0000 30.0000  5.0000  3.0100
 98.0000 29.5000  5.0000  3.0100
 98.0000 29.0000  5.0000  2.7549
 98.0000 28.5000  5.0000  2.7549
 98.0000 28.0000  5.0000  3.0100
 98.5000 32.5000  5.0000  3.0100
 98.5000 32.0000  5.0000  2.7549
 98.5000 31.5000  5.0000  2.7549
 98.5000 31.0000  5.0000  3.0100
 98.5000 30.5000  5.0000  3.0100
